almacen,codigo,producto,categoria,unidad,saldo,saldo_fisico,por_ingresar,transito,salida_espera,reservas,saldo_virtual
LIM/Existencias,0202039,"Tubo CUAD 1""X2.0mX6.0m LAC",Cuadrado,Unit(s),0,0,200.000,0,0,0,200.000
LIM/Existencias,0202040,"Tubo CUAD 1.1/4""X1.8mX6.0m LAC",Cuadrado,Unit(s),0,0,1050.000,0,0,0,1050.000
LIM/Existencias,0202041,"Tubo CUAD 1.1/4""X2.0mX6.0m LAC",Cuadrado,Unit(s),0,0,450.000,0,0,0,450.000
LIM/Existencias,0202043,"Tubo CUAD 1.1/2""X1.8mX6.0m LAC",Cuadrado,Unit(s),0,0,1200.000,0,0,0,1200.000
LIM/Existencias,0202044,"Tubo CUAD 1.1/2""X2.0mX6.0m LAC",Cuadrado,Unit(s),0,0,300.000,0,0,0,300.000
LIM/Existencias,0202046,"Tubo CUAD 2""X1.8mX6.0m LAC",Cuadrado,Unit(s),0,0,1460.000,0,0,0,1460.000
LIM/Existencias,0202047,"Tubo CUAD 2""X2.0mX6.0m LAC",Cuadrado,Unit(s),0,0,2810.000,0,0,0,2810.000
LIM/Existencias,0202048,"Tubo CUAD 2""X2.5mX6.0m LAC",Cuadrado,Unit(s),0,0,180.000,0,0,0,180.000
LIM/Existencias,0202049,"Tubo CUAD 2""X3.0mX6.0m LAC",Cuadrado,Unit(s),0,0,685.000,0,0,0,685.000
LIM/Existencias,0202051,"Tubo CUAD 4""X4.0mX6.0m LAC ",Cuadrado,Unit(s),0,0,12.000,0,0,0,12.000
LIM/Existencias,0202058,Tubo CUAD 50X2.5mX6.0m LAC ,Cuadrado,Unit(s),0,0,80.000,0,0,0,80.000
LIM/Existencias,0202060,Tubo CUAD 75X2.0mX6.0m LAC ,Cuadrado,Unit(s),0,0,1490.000,0,0,0,1490.000
LIM/Existencias,0202061,Tubo CUAD 75X2.5mX6.0m LAC ,Cuadrado,Unit(s),0,0,160.000,0,0,0,160.000
LIM/Existencias,0202062,Tubo CUAD 75X3.0mX6.0m LAC ,Cuadrado,Unit(s),0,0,200.000,0,0,0,200.000
LIM/Existencias,0202063,Tubo CUAD 100X2.0mX6.0m LAC ,Cuadrado,Unit(s),0,0,100.000,0,0,0,100.000
LIM/Existencias,0202064,Tubo CUAD 100X2.5mX6.0m LAC,Cuadrado,Unit(s),0,0,180.000,0,0,0,180.000
LIM/Existencias,0202065,Tubo CUAD 100X3.0mX6.0m LAC ,Cuadrado,Unit(s),0,0,590.000,0,0,0,590.000
LIM/Existencias,0202066,Tubo CUAD 100X4.0mX6.0m LAC,Cuadrado,Unit(s),0,0,6.000,0,0,0,6.000
LIM/Existencias,0202069,"Tubo CUAD  4""X4.5mX6.0mt",Cuadrado,Unit(s),0,0,2.000,0,0,0,2.000
LIM/Existencias,0202070,"Tubo CUAD  6""X6.0mX6.0mt",Cuadrado,Unit(s),0,0,1.000,0,0,0,1.000
LIM/Existencias,0202074,Tubo CUAD 38X2.0mX6.0m LAC PR,Cuadrado,Unit(s),0,0,1225.000,0,0,0,1225.000
LIM/Existencias,0202075,Tubo CUAD 38X3.0mX6.0m LAC PR,Cuadrado,Unit(s),0,0,196.000,0,0,0,196.000
LIM/Existencias,0202076,"Tubo CUAD 8""X8""X1/4""X6.0m",Cuadrado,Unit(s),0,0,4.000,0,0,0,4.000
